French,English
histoire,history
chercher,search
police,police
genre,kind
laisser,let
car,because
aucun,no
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
savais,knew
attention,Warning
pourrais,could
type,type
leurs,their
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
perdu,lost
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
